title;artist;album;isrc
Protection (Remastered 2006);Massive Attack;Collected;gbaaa0600006
Glory Box;Portishead;Dummy;gbaqt9400066
only you;praise;Praise - Unknown Album;
No One's To Blame;Gabriel & Dresden;Remedy;gbewa1902750
Teardrop (Remastered 2019);Massive Attack;Mezzanine (20th Anniversary Deluxe Edition) (Deluxe);gbum71805233
Israelites;Desmond Dekker & the ASces;DJ's Guide to Reggae, DMC;
Talking With Myself;Electribe 101;Electribal Memories;gbf089800579
Belfast;Orbital;Orbital;gbanb9100001
The First Time Ever I Saw Your Face;George Michael;Songs From The Last Century;gbdfn9900005
